slug,title,heading,lead,body,seo_title,seo_description,is_published
home,Home,"Industrial greenhouse systems, technical plastics, and façade materials.","We deliver advanced industrial solutions—customized greenhouse systems, technical plastics, and façade materials—engineered to meet the highest standards of durability, efficiency, and innovation. Trusted by professionals across sectors, we combine expert craftsmanship with tailored service to power your most demanding projects.","- Guaranteed by UNI EN ISO 9001:2015 standard
- 700+ greenhouses built
- 10+ years experience

Explore Our Comprehensive Industrial Solutions

At Norhage Industri, we are dedicated to providing a diverse array of high-quality industrial materials and expert services tailored to the evolving needs of modern industries. Our extensive product range—from durable commercial greenhouses to precision-machined technical plastics—ensures you have the right solutions for your unique projects. We are committed to excellence and quality in everything we do, helping to drive your business forward.",,"We deliver advanced industrial solutions—customized greenhouse systems, technical plastics, and façade materials—engineered to meet the highest standards of…",1
about,About us,About Norhage Industri,"Norhage Industri is a B2B brand of TEHI AS. We supply industrial materials and professional services for commercial greenhouse, construction, and manufacturing projects.",There is no public showroom. Materials and assembly are quoted per project and delivered to the site. Prices are not published on the website.,,"Norhage Industri is the B2B brand of TEHI AS, supplying industrial materials and services across Europe.",1
wholesale,Wholesale,Wholesale partnership,"We supply high-quality greenhouse automation and sealing solutions to wholesalers and distributors. Volume pricing, rapid fulfillment, and technical support make us an ideal partner for nurseries, integrators, and construction suppliers. Download spec PDFs or request a tailored quote today.","Download a catalog PDF for specifications. Volume prices, branding, and minimum quantities are confirmed on a quote — they are not published on the website.

More catalog PDFs can be added in admin as new wholesale lines appear.",,"We supply high-quality greenhouse automation and sealing solutions to wholesalers and distributors. Volume pricing, rapid fulfillment, and technical support…",1
contact,Contact,Contact,"We’re here to assist you! Whether you have inquiries about our products, need details on our services, or require any other information, feel free to reach out to us. We are always happy to help.","How to Reach Us

Email: info@norhageindustri.com
Telephone: +47 940 23 135 or +47 983 67 181",,"We’re here to assist you! Whether you have inquiries about our products, need details on our services, or require any other information, feel free to reach…",1
services,Services,Services,Our comprehensive services for industrial and horticultural needs,"At Norhage Industri, we offer a wide variety of professional services tailored to meet the needs of businesses across multiple industries. From custom installations to product consultations and support, our expertise spans industrial, agricultural, and horticultural sectors. Whether you require specialized materials, system installations, or technical guidance, our dedicated team is ready to provide innovative and sustainable solutions that meet your exact requirements.

Explore our full range of services below, where you can learn more about each offering and how it can benefit your business.

Greenhouse Installation Services – Single-Span & Multi-Span

Enhance crop yields with professional greenhouse installation by Norhage Industri. We specialize in Single-Span and Multi-Span greenhouses, ensuring durable, energy-efficient, and climate-controlled structures for commercial growers, agriculture, and research. Get a custom installation tailored to your needs. Contact us today for expert solutions!

Greenhouse Repair and Restoration Services

Restore and optimize your greenhouse with our professional greenhouse repair services. From structural reinforcements to ventilation upgrades, we ensure durability, energy efficiency, and optimal growing conditions. Keep your greenhouse in top shape—discover our expert solutions today!

Terraces & Plastic Roofs Assembly Services

Enhance your outdoor space with our expert terrace and plastic roof assembly services. We provide durable, weather-resistant installations using high-quality materials like polycarbonate panels and aluminum frames. Perfect for residential and commercial projects, our solutions ensure lasting protection, style, and functionality. Contact us today for a seamless installation experience!

Horticulture System Project Calculation and Implementation

Our industrial projects calculation service provides accurate and detailed assessments for large-scale construction and installation projects. From materials estimation to structural analysis, we ensure that every aspect of your project is precisely calculated for maximum efficiency and cost-effectiveness. Trust our expertise to guide you from planning to completion with confidence.

PVC Strip Curtains Production

We provide high-quality PVC strip curtains designed for industrial use, offering durability and flexibility to suit a variety of environments. Our production process ensures that each curtain meets strict standards for temperature control, noise reduction, and space division, making them ideal for warehouses, workshops, and cold storage facilities. Custom sizes and configurations are available to meet your specific needs.

Aluminium & Plastic Cutting

Our aluminium and plastic cutting service provides precision cuts for a wide range of industrial applications. With advanced equipment and expert technicians, we ensure accurate and clean cuts tailored to your exact specifications. Whether for construction, manufacturing, or custom projects, we offer fast and reliable cutting solutions that meet the highest standards of quality.

Technical Plastic Materials Production

We specialize in the production of high-performance technical plastic materials designed for demanding industrial applications. Our expertise ensures that each product is manufactured with precision, durability, and flexibility to meet a wide range of specifications. From custom components to bulk production, we deliver reliable solutions tailored to your operational needs.",,Our comprehensive services for industrial and horticultural needs,1
cases,Cases & projects,Projects,Industrial Projects Powered by Norhage Industri Materials,"At Norhage Industri, we don’t just supply materials — we deliver complete solutions for demanding industrial and construction projects across Europe. Our products are trusted by professionals in agriculture, manufacturing, logistics, and architectural design for their durability, quality, and performance under pressure.

Whether it’s a large-scale greenhouse installation, a custom facade project, or a high-pressure system requiring stainless steel components, our materials are built to perform in every environment.

Reo Industrial Greenhouse Installation — 25 × 90 m (2,250 m²)

Size: 25 m × 90 m (2,250 m²)

Model: Reo Industrial (Plastic-Covered)

Scope: Complete site installation: structure, systems, and automation

Atlantic Evoluzione Industrial Greenhouse — 10.5 × 100 m

Capacity: 1,050 m² growing area (10.5 m × 100 m)

Scope: Complete turnkey supply and technical on-site installation

Systems: Reinforced steel frame, double-inflated roof, automated climate & heating

Fire-Damaged Industrial Greenhouse Renovation — 16 × 40 m (640 m²)

Size: 16 m × 40 m (640 m²)

Location: Client site (Mellanå)

Delivery: Full assessment, selective demolition, engineered repairs, recladding, ventilation refurbishment and final commissioning

Single-Span Greenhouses Assembly Project

Location: Norway

Polycarbonate Roof Renovation in Stavanger

Location: Stavanger, Norway

Year: 2024

Renovation Project – School in Rykkinn

Location: Rykkinn, Norway

Greenhouse Renovation – Makan Project in Sweden

Location: Sweden

Greenhouse Plastic Film Renovation

Location: Norway

Polycarbonate Greenhouse Renovation in Sweden

Location: Varberg, Sweden

Facade Systems Projects

Explore Our Completed Projects

Above, you’ll find a selection of real projects featuring our core product lines, including:

- Polycarbonate Roofing Systems: Used in commercial greenhouses, shelters, and light-transmitting structures.

- Aluminum Profiles and Sealing Materials: Designed for efficient and watertight installations of polycarbonate and glass.

- Stainless Steel Pipes and Bars: Applied in marine environments, hydraulic systems, and heavy industrial machinery.

- Rubber Flooring and Technical Plastics: Solutions for safety surfaces, industrial lining, and chemical resistance.

These examples reflect the versatility of our product range and the reliability we deliver on-site.

You can find our latest projects, behind-the-scenes updates, and industry insights on our LinkedIn page. Follow us to stay connected and inspired.

Why Professionals Choose Norhage Industri

- Certified Quality – All materials meet European and international standards

- Tailored Solutions – Products available in standard and custom sizes

- Resistant & Reliable – Designed for extreme weather, chemicals, and wear

- Fast Delivery – Efficient logistics for on-time project support

Need Materials for Your Next Project?

Whether you’re planning a new build, renovation, or industrial upgrade, our team is here to support you. Contact us to discuss your project needs, request samples, or get a tailored quote.",,Industrial Projects Powered by Norhage Industri Materials,1
terms,Terms of use,Terms and Conditions,"By using norhageindustri.com (the “website”), you agree to these Terms and Conditions. The website is operated by TEHI AS, registered in Norway with the address Vardheivegen 68, 4340 Bryne, Norway. Please review these terms carefully before using our services or contacting us for business inquiries.","1. General Conditions

We reserve the right to modify or discontinue any part of our website or services at any time. Accessing or using the website does not grant any rights to our content, images, or information for commercial use without prior written consent. Any unauthorized use of the website or its content is prohibited.

2. Business Information and Inquiries

All information provided on the website is intended for informational purposes only. To inquire about our products or services, please contact us directly. Availability, specifications, and pricing of products are subject to change and will be confirmed through direct communication with our representatives.

3. Accuracy of Business Information

If you submit a business inquiry or request information, you agree to provide accurate, complete, and up-to-date details regarding your business. The website reserves the right to verify and review inquiries for accuracy.

4. Intellectual Property

All materials on the website, including text, graphics, logos, and images, are the property of TEHI AS or its affiliates. Unauthorized reproduction or use of any content for commercial purposes without permission is strictly prohibited.

5. Limitation of Liability

TEHI AS shall not be held liable for any direct, indirect, incidental, or consequential damages arising from the use of the website or reliance on its content. This includes but is not limited to any errors or omissions in the information provided.

6. Third-Party Links

The website may include links to third-party websites. We are not responsible for the content or practices of these external sites, and accessing them is at your own risk.

7. Governing Law

These Terms and Conditions are governed by and construed in accordance with Norwegian law. Any disputes arising from the use of the website shall be subject to the jurisdiction of the courts in Norway.

8. Changes to Terms and Conditions

We reserve the right to update or modify these Terms and Conditions at any time. Any changes will be posted on this page, and continued use of the website indicates acceptance of the modified terms.

9. Contact Information

For questions about these Terms and Conditions or to discuss our services, please contact us:
Email: info@norhageindustri.com
Phone: +47 940 23 135

These Terms and Conditions were last updated on 2024-10-30.",,"By using norhageindustri.com (the “website”), you agree to these Terms and Conditions. The website is operated by TEHI AS, registered in Norway with the…",1
privacy,Privacy policy,Privacy Policy,"At norhageindustri.com, we value your privacy and are committed to safeguarding your personal data. The website is operated by TEHI AS, located at Vardheivegen 68, 4340 Bryne, Norway. This Privacy Policy explains how we collect, use, and protect information provided to us through business inquiries and interactions.","1. Information We Collect

- Business Data: Information related to your business, including company name, professional contact details (e.g., business address, email, phone number), job title, and any other relevant business inquiry details.

- Usage Data: Information on how you use our website, such as IP address, browser type, and pages visited. This helps us improve user experience and website functionality.

2. How We Use Your Information

- Business Communication: To respond to inquiries, provide information about our products and services, and maintain business relationships.

- Improvement of Services: To understand website usage patterns, allowing us to optimize our content and improve site functionality for our business clients.

- Marketing and Updates: With your consent, we may use business contact details to send relevant updates or newsletters about our products and services.

3. Data Sharing

We do not sell or rent your data. We may share it with:

- Service Providers: We may share data with trusted service providers for website management and client relationship support.

- Legal Compliance: Information may be shared as required by law or in response to valid legal requests.

4. Data Security

- We implement industry-standard security measures, including encryption and secure servers, to protect your personal and business data. However, no online transmission method can be guaranteed to be 100% secure.

5. Your Rights

- Access: You can request access to the business data we hold about you.

- Correction: You may update or correct inaccurate information.

- Deletion: You may request the deletion of your business data under specific conditions.

- Objection: You can object to certain data processing activities where applicable.

6. Cookies

- We use cookies to improve your experience on our site. For further details, please see our Cookie Policy.

7. Changes to This Policy

- We may update this Privacy Policy periodically to reflect changes in technology or legal requirements. Any changes will be posted on this page.

8. Contact Us

For questions about our data practices or to exercise your rights, please contact us at:

- Email: info@norhageindustri.com

- Phone: +47 940 23 135",,"At norhageindustri.com, we value your privacy and are committed to safeguarding your personal data. The website is operated by TEHI AS, located at…",1
cookies,Cookie information,Cookie Policy,"At norhageindustri.com, we use cookies to enhance your experience and improve our services. The website is operated by TEHI AS, registered in Norway with the address Vardheivegen 68, 4340 Bryne, Norway. By continuing to browse our site, you consent to the use of cookies as outlined in this policy.","1. What Are Cookies?

Cookies are small text files stored on your device when you visit websites. They help websites function more efficiently and provide information to site owners for analysis.

2. How We Use Cookies

We use the following types of cookies:

- Essential Cookies: Required for the basic functioning of our website.

- Performance Cookies: Help us track user interactions and improve site performance.

- Functionality Cookies: Enable features like remembering your preferences.

- Targeting/Advertising Cookies: Assist in delivering relevant ads and tracking ad performance.

3. Consent Mode

When you first visit our site, you will see a cookie consent banner. You can accept or reject specific types of cookies, and your preferences will be saved for future visits.

4. Managing Cookies

You can control and manage cookies through your browser settings. Disabling certain cookies may limit website functionality.

5. Changes to This Policy

We may update this cookie policy to reflect changes in technology or legal requirements. Any updates will be posted on this page.

6. Contact Us

For questions about our cookie use, please contact us:
Email: info@norhageindustri.com",,"At norhageindustri.com, we use cookies to enhance your experience and improve our services. The website is operated by TEHI AS, registered in Norway with the…",1
solutions,Solutions & products,Solutions & products,"At Norhage Industri, we are dedicated to providing a diverse array of high-quality industrial materials and expert services tailored to the evolving needs of modern industries.","Our extensive product range—from durable commercial greenhouses to precision-machined technical plastics—ensures you have the right solutions for your unique projects.

Browse by industry, material, or system. Ask for a quote — prices are not published on the website.",,"At Norhage Industri, we are dedicated to providing a diverse array of high-quality industrial materials and expert services tailored to the evolving needs of…",1
